"date","depth","temperature"
2009-01-02,0,4.40966179797184
2009-01-02,1,4.40966179797184
2009-01-02,2,4.40966179797184
2009-01-02,3,4.40966179797184
2009-01-02,4,4.40966179797184
2009-01-02,5,4.40966179797184
2009-01-02,6,4.40966179797184
2009-01-02,7,4.40966179797184
2009-01-02,8,4.40966179797184
2009-01-02,9,4.40966179797184
2009-01-02,10,4.40966179797184
2009-01-02,11,4.40966179797184
2009-01-02,12,4.40966179797184
2009-01-02,13,4.40966179797184
2009-01-02,14,4.40966179797184
2009-01-02,15,4.40966179797184
2009-01-02,16,4.40966179797184
2009-01-02,17,4.40966179797184
2009-01-02,18,4.40966179797184
2009-01-02,19,4.40966179797184
2009-01-02,20,4.40966179797184
2009-01-02,21,4.40966179797184
2009-01-02,22,4.40966179797184
2009-01-02,23,4.40966179797184
2009-01-02,24,4.40966179797184
2009-01-02,25,4.40966179797184
2009-01-03,0,4.08485356210268
2009-01-03,1,4.08485356210268
2009-01-03,2,4.08485356210268
2009-01-03,3,4.08485356210268
2009-01-03,4,4.08485356210268
2009-01-03,5,4.08485356210268
2009-01-03,6,4.08485356210268
2009-01-03,7,4.08485356210268
2009-01-03,8,4.08485356210268
2009-01-03,9,4.08485356210268
2009-01-03,10,4.08485356210268
2009-01-03,11,4.08485356210268
2009-01-03,12,4.08485356210268
2009-01-03,13,4.08485356210268
2009-01-03,14,4.08485356210268
2009-01-03,15,4.08485356210268
2009-01-03,16,4.08485356210268
2009-01-03,17,4.08485356210268
2009-01-03,18,4.08485356210268
2009-01-03,19,4.08485356210268
2009-01-03,20,4.08485356210268
2009-01-03,21,4.08485356210268
2009-01-03,22,4.08485356210268
2009-01-03,23,4.08485356210268
2009-01-03,24,4.08485356210268
2009-01-03,25,4.08485356210268
2009-01-04,0,3.8755645357648
2009-01-04,1,3.8755645357648
2009-01-04,2,3.8755645357648
2009-01-04,3,3.8755645357648
2009-01-04,4,3.8755645357648
2009-01-04,5,3.8755645357648
2009-01-04,6,3.8755645357648
2009-01-04,7,3.8755645357648
2009-01-04,8,3.8755645357648
2009-01-04,9,3.8755645357648
2009-01-04,10,3.8755645357648
2009-01-04,11,3.8755645357648
2009-01-04,12,3.8755645357648
2009-01-04,13,3.8755645357648
2009-01-04,14,3.8755645357648
2009-01-04,15,3.8755645357648
2009-01-04,16,3.8755645357648
2009-01-04,17,3.8755645357648
2009-01-04,18,3.8755645357648
2009-01-04,19,3.8755645357648
2009-01-04,20,3.8755645357648
2009-01-04,21,3.8755645357648
2009-01-04,22,3.8755645357648
2009-01-04,23,3.8755645357648
2009-01-04,24,3.8755645357648
2009-01-04,25,3.8755645357648
2009-01-05,0,3.35623725245953
2009-01-05,1,3.35623725245953
2009-01-05,2,3.35623725245953
2009-01-05,3,3.35623725245953
2009-01-05,4,3.35623725245953
2009-01-05,5,3.35623725245953
2009-01-05,6,3.35623725245953
2009-01-05,7,3.35623725245953
2009-01-05,8,3.35623725245953
2009-01-05,9,3.35623725245953
2009-01-05,10,3.35623725245953
2009-01-05,11,3.35623725245953
2009-01-05,12,3.35623725245953
2009-01-05,13,3.35623725245953
2009-01-05,14,3.35623725245953
2009-01-05,15,3.35882607005189
2009-01-05,16,3.37529107398421
2009-01-05,17,3.41076293821578
2009-01-05,18,3.45845479758689
2009-01-05,19,3.4906995179965
2009-01-05,20,3.56095857528167
2009-01-05,21,3.61873892282044
2009-01-05,22,3.63394700024828
2009-01-05,23,3.63465561866433
2009-01-05,24,3.63465561866433
2009-01-05,25,3.64805909070706
2009-01-06,0,2.90980880485108
2009-01-06,1,2.90980880485108
2009-01-06,2,2.90980880485108
2009-01-06,3,2.90980880485108
2009-01-06,4,2.90980880485108
2009-01-06,5,2.90980880485108
2009-01-06,6,2.90980880485108
2009-01-06,7,2.90980880485108
2009-01-06,8,2.90980880485108
2009-01-06,9,2.90980880485108
2009-01-06,10,2.90980880485108
2009-01-06,11,2.90980970187574
2009-01-06,12,2.90989673272286
2009-01-06,13,2.92845692400398
2009-01-06,14,3.00130247972827
2009-01-06,15,3.06237834647097
2009-01-06,16,3.12607114908211
2009-01-06,17,3.16934483722549
2009-01-06,18,3.19001279817147
2009-01-06,19,3.19767750365375
2009-01-06,20,3.20521965500647
2009-01-06,21,3.2129556134281
2009-01-06,22,3.2223397806457
2009-01-06,23,3.22491573866687
2009-01-06,24,3.22491573866687
2009-01-06,25,3.25344626531417
2009-01-07,0,2.62883596454654
2009-01-07,1,2.62883596454654
2009-01-07,2,2.62883596454654
2009-01-07,3,2.63078476328526
2009-01-07,4,2.79672389127183
2009-01-07,5,2.97000173713724
2009-01-07,6,2.97000173713724
